SCHOOL NAME,COMMUNITY,Juniors This Year,Seniors This Year,Juniors Last Year,Seniors Last Year,JuniorDelta,SeniorDelta
Mennonite Brethren Collegiate Inst.,Winnipeg,57.0,80.0,81.0,85.0,0.7037037037037037,0.9411764705882353
Mennonite Collegiate Institute,Gretna,17.0,23.0,21.0,35.0,0.8095238095238095,0.6571428571428571
Morweena Christian School,Arborg,11.0,26.0,24.0,12.0,0.4583333333333333,2.1666666666666665
Northern Shield Academy,Stonewall,8.0,9.0,9.0,7.0,0.8888888888888888,1.2857142857142858
Odanah Colony School,Minnedosa ¹,2.0,4.0,4.0,0.0,0.5,inf
Pine Creek School,Austin ¹,2.0,0.0,0.0,4.0,inf,0.0
Poplar Point Colony School Inc.,Portage La Prairie ¹,3.0,2.0,3.0,4.0,1.0,0.5
Silverwinds School,Sperling ¹,3.0,4.0,3.0,2.0,1.0,2.0
Springs Christian Academy,Winnipeg,22.0,20.0,20.0,24.0,1.1,0.8333333333333334
St. Boniface Diocesan High School,Winnipeg,58.0,52.0,55.0,42.0,1.0545454545454545,1.2380952380952381
St. John's-Ravenscourt School,Winnipeg,86.0,101.0,102.0,96.0,0.8431372549019608,1.0520833333333333
St. Mary's Academy,Winnipeg,88.0,110.0,111.0,95.0,0.7927927927927928,1.1578947368421053
St. Maurice School,Winnipeg,47.0,43.0,42.0,39.0,1.119047619047619,1.1025641025641026
St. Paul's High School,Winnipeg,117.0,139.0,140.0,140.0,0.8357142857142857,0.9928571428571429
Steinbach Christian School,Steinbach,41.0,18.0,18.0,36.0,2.2777777777777777,0.5
The King's School,Winnipeg,12.0,22.0,22.0,13.0,0.5454545454545454,1.6923076923076923
The Laureate Academy,Winnipeg,5.0,5.0,5.0,3.0,1.0,1.6666666666666667
Westgate Mennonite Collegiate,Winnipeg,72.0,51.0,58.0,43.0,1.2413793103448276,1.186046511627907
Westpark School,Portage La Prairie,19.0,20.0,22.0,17.0,0.8636363636363636,1.1764705882352942
Christ Full Gospel Academy,Plum Coulee,3.0,0.0,0.0,1.0,inf,0.0
Edrans Christian School,Austin,1.0,1.0,1.0,2.0,1.0,0.5
Grace Valley Mennonite Academy,Winkler,0.0,1.0,0.0,1.0,,1.0
Horndean Christian Day School,Horndean,3.0,3.0,4.0,2.0,0.75,1.5
Hosanna Christian School,Winnipeg,2.0,3.0,4.0,3.0,0.5,1.0
Interlake Mennonite Fellowship Sch.,Arborg,1.0,0.0,3.0,2.0,0.3333333333333333,0.0
Lighthouse Christian School,Portage La Prairie,3.0,0.0,0.0,5.0,inf,0.0
Mennonite Christian Academy,Grunthal,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
Morning Glory School,Mitchell,13.0,11.0,9.0,15.0,1.4444444444444444,0.7333333333333333
New Life Fellowship School,Winkler,1.0,0.0,2.0,0.0,0.5,
Old Colony Mennonite School,Reinfeld ¹,4.0,2.0,2.0,3.0,2.0,0.6666666666666666
Parkland Christian School,Roblin,3.0,3.0,3.0,4.0,1.0,0.75
