DistrictType,SchoolType,DistrictNumber,DistrictName,SchoolNumber,SchoolName,SchoolAddress,SchoolCity,SchoolState,SchoolZip,County Lookup,District No.,District Name,School No.,School Name,Juniors This Year,Seniors This Year,Juniors Last Year,Seniors Last Year,JuniorDelta,SeniorDelta,County,SchoolZipCleaned
Public School District,Secondary 9-12,61008,Dakota Valley 61-8,1,Dakota Valley High School - 01,1150 Northshore Dr,North Sioux City,SD,57049,North Sioux City SD,61008.0,Dakota Valley 61-8            ,1.0,Dakota Valley High School               ,115.0,77.0,115.0,77.0,1.0,1.0,,57049
Public School District,Secondary 9-12,38002,De Smet 38-2,1,De Smet High School - 01,405 3rd St SW,De Smet,SD,57231,De Smet SD,38002.0,De Smet 38-2                  ,1.0,De Smet High School                     ,29.0,21.0,29.0,21.0,1.0,1.0,,57231
Public School District,Secondary 9-12,49003,Dell Rapids 49-3,1,Dell Rapids High School - 01,1216 N Garfield Ave,Dell Rapids,SD,57022-1099,Dell Rapids SD,49003.0,Dell Rapids 49-3              ,1.0,Dell Rapids High School                 ,71.0,66.0,71.0,66.0,1.0,1.0,,57022
Public School District,Secondary 9-12,5006,Deubrook Area 05-6,1,Deubrook High School - 01,100 School Ave,White,SD,57276-0346,White SD,5006.0,Deubrook Area 05-6            ,1.0,Deubrook High School                    ,25.0,19.0,25.0,19.0,1.0,1.0,,57276
Public School District,Secondary 9-12,19004,Deuel 19-4,1,Deuel High School - 01,410 5th St W,Clear Lake,SD,57226-0770,Clear Lake SD,19004.0,Deuel 19-4                    ,1.0,Deuel High School                       ,36.0,35.0,36.0,35.0,1.0,1.0,,57226
Public School District,Secondary 9-12,56002,Doland 56-2,1,Doland High School - 01,405 N Humphrey Dr,Doland,SD,57436,Doland SD,56002.0,Doland 56-2                   ,1.0,Doland High School                      ,5.0,5.0,5.0,5.0,1.0,1.0,,57436
Public School District,Secondary 9-12,56002,Doland 56-2,7,Hillside Colony High School - 07,18248 Hillside Ln,Doland,SD,57436,Doland SD,56002.0,Doland 56-2                   ,7.0,Hillside Colony High School             ,3.0,1.0,3.0,1.0,1.0,1.0,,57436
Public School District,Secondary 9-12,51001,Douglas 51-1,3,Douglas High School - 03,420 Patriot Dr,Box Elder,SD,57719-9749,Box Elder SD,51001.0,Douglas 51-1                  ,3.0,Douglas High School                     ,180.0,136.0,180.0,136.0,1.0,1.0,,57719
Public School District,Secondary 9-12,64002,Dupree 64-2,1,Dupree High School - 01,127 B St,Dupree,SD,57623,Dupree SD,64002.0,Dupree 64-2                   ,1.0,Dupree Hi Sch                           ,25.0,13.0,25.0,13.0,1.0,1.0,,57623
Public School District,Alternative 7-12,20001,Eagle Butte 20-1,7,E.A.G.L.E. Center High School - 07,E St,Eagle Butte,SD,57625,Eagle Butte SD,20001.0,Eagle Butte 20-1              ,7.0,C-EB E.A.G.L.E. Center High School      ,0.0,1.0,0.0,1.0,,1.0,,57625
Public School District,Secondary 9-12,20001,Eagle Butte 20-1,1,Eagle Butte High School - 01,West Frontier Ave,Eagle Butte,SD,57625,Eagle Butte SD,20001.0,Eagle Butte 20-1              ,1.0,C-EB High School                        ,4.0,3.0,4.0,3.0,1.0,1.0,,57625
Public School District,Secondary 9-12,23001,Edgemont 23-1,1,Edgemont High School - 01,715 Mogul Way,Edgemont,SD,57735,Edgemont SD,23001.0,Edgemont 23-1                 ,1.0,Edgemont High School                    ,10.0,9.0,10.0,9.0,1.0,1.0,,57735
Public School District,Secondary 9-12,22005,Edmunds Central 22-5,1,Edmunds Central High School - 01,105 1st Ave,Roscoe,SD,57471,Roscoe SD,22005.0,Edmunds Central 22-5          ,1.0,Edmunds Central Hi Sch                  ,12.0,8.0,12.0,8.0,1.0,1.0,,57471
Public School District,Virtual Secondary 9-12,16002,Elk Mountain 16-2,92,Elk Mountain Virtual High School - 92,10222 Valley Rd,Dewey,SD,57735,Dewey SD,16002.0,Elk Mountain 16-2             ,92.0,Elk Mountain Virtual HS                 ,1.0,1.0,1.0,1.0,1.0,1.0,,57735
Public School District,Secondary 9-12,61007,Elk Point-Jefferson 61-7,1,Elk Point-Jefferson High School - 01,402 S Douglas St,Elk Point,SD,57025,Elk Point SD,61007.0,Elk Point-Jefferson 61-7      ,1.0,Elk Point Jefferson High School         ,50.0,45.0,50.0,45.0,1.0,1.0,,57025
Public School District,Secondary 9-12,5003,Elkton 05-3,1,Elkton High School - 01,508 Buffalo St,Elkton,SD,57026,Elkton SD,5003.0,Elkton 05-3                   ,1.0,Elkton High School                      ,32.0,12.0,32.0,12.0,1.0,1.0,,57026
