DistrictType,SchoolType,DistrictNumber,DistrictName,SchoolNumber,SchoolName,SchoolAddress,SchoolCity,SchoolState,SchoolZip,District No.,District Name,School No.,School Name,Juniors This Year,Seniors This Year,Juniors Last Year,Seniors Last Year,JuniorDelta,SeniorDelta
Public School District,Secondary 9-12,23003,Oelrichs 23-3,1,Oelrichs High School - 01,214 W 7th St,Oelrichs,SD,57763,23003.0,Oelrichs 23-3                 ,1.0,Oelrichs High School                    ,9.0,13.0,15.0,10.0,0.6,1.3
Public School District,Virtual Secondary 9-12,65001,Oglala Lakota County 65-1,92,Oglala Lakota County Virtual High School - 92,206 School St,Batesland,SD,57716,65001.0,Oglala Lakota 65-1            ,92.0,Oglala Lakota County Virtual High School,16.0,7.0,19.0,7.0,0.8421052631578947,1.0
Public School District,Secondary 9-12,39005,Oldham-Ramona 39-5,1,Oldham-Ramona High School - 01,220 W 2nd St,Ramona,SD,57054,39005.0,Oldham-Ramona 39-5            ,1.0,Oldham-Ramona High School               ,7.0,4.0,6.0,12.0,1.1666666666666667,0.3333333333333333
Public School District,Secondary 9-12,39005,Oldham-Ramona 39-5,5,Spring Lake Colony High School - 05,21727 452nd Ave,Arlington,SD,57212,39005.0,Oldham-Ramona 39-5            ,5.0,Spring Lake Colony HS                   ,2.0,1.0,1.0,0.0,2.0,inf
Public School District,Secondary 9-12,60004,Parker 60-4,1,Parker High School - 01,335 W 1st St,Parker,SD,57053-0517,60004.0,Parker 60-4                   ,1.0,Parker High School                      ,31.0,23.0,26.0,21.0,1.1923076923076923,1.0952380952380953
Public School District,Aux Placement,33003,Parkston 33-3,88,Our Home - 88,102A S Chapman Dr,Parkston,SD,57366,33003.0,Parkston 33-3                 ,88.0,Our Home                                ,8.0,3.0,5.0,2.0,1.6,1.5
Public School District,Secondary 9-12,33003,Parkston 33-3,1,Parkston High School - 01,102A S Chapman Dr,Parkston,SD,57366,33003.0,Parkston 33-3                 ,1.0,Parkston High School                    ,28.0,33.0,34.0,41.0,0.8235294117647058,0.8048780487804879
Public School District,Secondary 9-12,32002,Pierre 32-2,1,T.F. Riggs High School - 01,1010 E Broadway Ave,Pierre,SD,57501,32002.0,Pierre 32-2                   ,1.0,T F Riggs High School                   ,138.0,182.0,176.0,189.0,0.7840909090909091,0.9629629629629629
Public School District,Aux Placement,1001,Plankinton 01-1,5,Aurora Plains Academy High School - 05,1400 E 10th St,Plankinton,SD,57368,1001.0,Plankinton 01-1               ,5.0,Aurora Plains Academy High School       ,10.0,5.0,8.0,2.0,1.25,2.5
Public School District,Secondary 9-12,1001,Plankinton 01-1,1,Plankinton High School - 01,404 E Davenport St,Plankinton,SD,57368,1001.0,Plankinton 01-1               ,1.0,Plankinton High School                  ,27.0,12.0,13.0,22.0,2.076923076923077,0.5454545454545454
