,StateIssuedID,LEA Name,School Name,Site Address,Site City,Site St,Site ZIP,SchNo,SchoolName,Gr11,Gr12
254,39-037-9170,,Wahpeton High School,1021 11th St N,Wahpeton,ND,58075,39-037-9170,Wahpeton High School,80,80
255,39-037-9887,,Zimmerman Elem School,508 9th St N,Wahpeton,ND,58075,39-037-9887,Zimmerman Elem School,0,0
256,39-042-9627,,Wyndmere Public School,101 Date Ave,Wyndmere,ND,58081,39-042-9627,Wyndmere Public School,19,15
257,39-044-2031,,Richland Elem School,106 Broadway,Abercrombie,ND,58001,39-044-2031,Richland Elem School,0,0
258,39-044-6120,,Richland Jr-Sr High School,101 Main Ave,Colfax,ND,58018,39-044-6120,Richland Jr-Sr High School,20,16
259,40-001-1966,,Dunseith High School,301 3rd Ave SW,Dunseith,ND,58329,40-001-1966,Dunseith High School,43,34
260,40-001-1968,,Dunseith Elem School,101 2nd Ave SW,Dunseith,ND,58329,40-001-1968,Dunseith Elem School,0,0
261,40-003-8152,,St John Public School,400 Foussard Ave,Saint John,ND,58369,40-003-8152,St John Public School,36,28
262,40-004-5055,,Mt Pleasant Public School,201 5th St NE,Rolla,ND,58367,40-004-5055,Mt Pleasant Public School,13,17
263,40-007-8461,,Tiny Turtles Preschool,1221 William Hardesty Street,Belcourt,ND,58316,40-007-8461,Tiny Turtles Preschool,0,0
264,40-007-8565,,Turtle Mountain Community Elem School,1209 Guilbert Godon St,Belcourt,ND,58316,40-007-8565,Turtle Mountain Community Elem School,0,0
265,40-007-8566,,Turtle Mountain Community Middle School,1330 Braves Blvd,Belcourt,ND,58316,40-007-8566,Turtle Mountain Community Middle School,0,0
266,40-007-8567,,Turtle Mountain Community High School,1350 Braves Boulevard,Belcourt,ND,58316,40-007-8567,Turtle Mountain Community High School,138,122
267,40-029-7555,,Rolette Public School,901 3rd Ave NE,Rolette,ND,58366,40-029-7555,Rolette Public School,13,12
268,41-002-5719,,Milnor Public School,530 5th St,Milnor,ND,58060,41-002-5719,Milnor Public School,17,18
269,41-002-7757,,Sundale Colony School,14226 75th St SE,Milnor,ND,58060,41-002-7757,Sundale Colony School,0,0
270,41-003-6130,,North Sargent Public School,16 1st St SW,Gwinner,ND,58040,41-003-6130,North Sargent Public School,20,17
271,41-006-7709,,Sargent Central Public School,575 5th St SW,Forman,ND,58032,41-006-7709,Sargent Central Public School,13,13
272,42-016-3199,,Goodrich Public School,211 4th St,Goodrich,ND,58444,42-016-3199,Goodrich Public School,3,3
273,42-019-5320,,McClusky Elem School,121 F Ave W,McClusky,ND,58463,42-019-5320,McClusky Elem School,0,0
274,42-019-5532,,McClusky High School,219 Ave D W,McClusky,ND,58463,42-019-5532,McClusky High School,7,7
275,43-003-1278,,Cannon Ball Elem School,7080 8th Ave,Cannon Ball,ND,58528,43-003-1278,Cannon Ball Elem School,0,0
276,43-003-8036,,Solen High School,902 E Broadway,Solen,ND,58570,43-003-8036,Solen High School,15,13
277,43-004-2921,,Ft Yates Middle School,9189 Hwy 24,Fort Yates,ND,58538,43-004-2921,Ft Yates Public Middle School,0,0
278,43-008-7804,,Selfridge Public School,210 2nd Ave S,Selfridge,ND,58568,43-008-7804,Selfridge Public School,4,7
279,44-012-5486,,Marmarth Elem School,301 2nd Ave SE,Marmarth,ND,58643,44-012-5486,Marmarth Elem School,0,0
280,44-032-0373,,Amidon Elem School,106 Court Ave,Amidon,ND,58620,44-032-0373,Amidon Elem School,0,0
281,45-001-1844,,Southwest Community High School,402 4th St W,Dickinson,ND,58601,45-001-1844,Southwest Community High School,4,21
282,45-001-1845,,Dickinson High School,979 13th Ave W,Dickinson,ND,58601,45-001-1845,Dickinson High School,251,197
283,45-001-1848,,Dickinson Middle School,2675 21st St W,Dickinson,ND,58601,45-001-1848,Dickinson Middle School,0,0
284,45-001-2099,,Early Childhood Center,107 3rd Ave SE,Dickinson,ND,58601,45-001-2099,Early Childhood Center,0,0
285,45-001-3160,,Heart River Elem School,720 7th St SW,Dickinson,ND,58601,45-001-3160,Heart River Elem School,0,0
286,45-001-4600,,Jefferson Elem School,599 11th Ave W,Dickinson,ND,58601,45-001-4600,Jefferson Elem School,0,0
287,45-001-5282,,Lincoln Elem School,102 10th St W,Dickinson,ND,58601,45-001-5282,Lincoln Elem School,0,0
288,45-001-7173,,Prairie Rose Elem School,2785 10th Ave W,Dickinson,ND,58601,45-001-7173,Prairie Rose Elem School,0,0
289,45-001-7574,,Roosevelt Elem School,230 3rd Ave E,Dickinson,ND,58601,45-001-7574,Roosevelt Elem School,0,0
290,45-009-8060,,South Heart Public School,310 4th St NW,South Heart,ND,58655,45-009-8060,South Heart Public School,19,25
291,45-013-0884,,Belfield Public School,302 NE 3rd St,Belfield,ND,58622,45-013-0884,Belfield Public School,14,16
292,45-034-7433,,Richardton-Taylor High School,320 Raider Rd,Richardton,ND,58652,45-034-7433,Richardton-Taylor High School,20,20
293,45-034-8335,,Taylor-Richardton Elem School,306 Ertel Ave,Taylor,ND,58656,45-034-8335,Taylor-Richardton Elem School,0,0
294,46-010-3729,,Hope High School,100 Bates Ave,Hope,ND,58046,46-010-3729,Hope High School,11,8
295,46-019-2827,,Finley-Sharon Public School,201 3rd St E,Finley,ND,58230,46-019-2827,Finley-Sharon Public School,7,8
